cluster_id,top_keywords
0,"abstract_missing_fallback_to_title(56), molecular dynamics(6), additive manufacturing(5), networks abstract_missing_fallback_to_title(4), particle model(4), heat exchangers(4), loads abstract_missing_fallback_to_title(4), materials abstract_missing_fallback_to_title(4), propulsion abstract_missing_fallback_to_title(3), grain boundary(3), shear coupling(3), air pollution(3), topology optimization(3), design abstract_missing_fallback_to_title(3), energy deposition(3), films abstract_missing_fallback_to_title(3), learning abstract_missing_fallback_to_title(3), decomposition abstract_missing_fallback_to_title(3), interpretable elastoplasticity(2), concrete(2)"
1,"soft robots(4), matrix factorization(3), learning gan(2), hyperelastic models(2), carbon nanotubes(2), cobot robotic(2), electroadhesive clutches(2), roughness touch(2), chaotic capture(2), federated learning(2), dictionary learning(2), conductivity grain(2), soft robot(2), soft robotics(2), soft robotic(2), eddy simulation(2), thermal stimulation(2), coupled oscillators(2), project teams(2), design curriculum(2)"
2,"international students(4), marangoni stresses(4), capillary electrophoresis(3), photon polymerization(3), molecular dynamics(3), data driven(2), computers human(2), kinematics cobots(2), haptic interface(2), texel rendering(2), granular flows(2), ergodic exploration(2), swarm robots(2), tensor decomposition(2), electroosmotic flow(2), membrane modeled(2), lubrication modeling(2), organisms replicate(2), laser lithography(2), sheet dynamics(2)"
3,"molecular dynamics(7), marangoni stresses(7), membranes nanofiltration(4), additive manufacturing(4), metathesis polymerization(4), electrohydrodynamic jet(4), granular flow(3), heat transfer(3), supercapacitor electrodes(2), haptic device(2), granular packings(2), adam converge(2), friction wear(2), bioresorbable electronics(2), wireless skin(2), tendon diffusion(2), biofilms mineralogical(2), surfactants dynamics(2), retracting surfactant(2), droplets surfactant(2)"
4,"abstract_missing_fallback_to_title(6), martensitic alloys(4), heparin binding(4), matrix metalloproteinase(2), erratum particle(2), coumarinyl triazoles(2), transfemoral amputation(2), phosphate scaffolds(2), trabecular bone(2), necrotizing enterocolitis(2), pyrolysis tryptophan(2), 京大機械翻訳 abstract_missing_fallback_to_title(2), gastric cancer(2), chaotic flow(2), segregation ferritic(2), fructose abstract_missing_fallback_to_title(2), materials abstract_missing_fallback_to_title(2), photophysical properties(2), capture model(2), receptor abstract_missing_fallback_to_title(2)"
5,"abstract_missing_fallback_to_title(28), additive manufacturing(5), materials abstract_missing_fallback_to_title(4), electrohydrodynamic jet(4), jet printing(4), learning abstract_missing_fallback_to_title(3), aramid fibers(3), control aerospace(3), printing abstract_missing_fallback_to_title(3), uncertainty abstract_missing_fallback_to_title(3), manufacturing abstract_missing_fallback_to_title(3), molecular dynamics(3), robust adaptive(3), solids abstract_missing_fallback_to_title(2), conductivity hydrocarbon(2), vibroacoustic metamaterials(2), introductory fluid(2), spool compressor(2), vapor compression(2), alloys abstract_missing_fallback_to_title(2)"
6,"abstract_missing_fallback_to_title(47), education abstract_missing_fallback_to_title(4), dynamics lectures(4), examples engineering(4), curiosity connection(4), effectiveness weekly(4), systems abstract_missing_fallback_to_title(3), materials abstract_missing_fallback_to_title(3), robots abstract_missing_fallback_to_title(3), additive manufacturing(3), machines abstract_missing_fallback_to_title(3), mechanics abstract_missing_fallback_to_title(2), reinnervation amputees(2), networks abstract_missing_fallback_to_title(2), fuel alternative(2), locomotion superbot(2), lifelong learning(2), rehabilitation global(2), sleeve gastrectomy(2), engineering leadership(2)"
7,"celebrity marketing(2), tourism intentions(2), 연구에서는 인플루언서의(2), programa hanseniase(1), sistemas producao(1), esterilização método(1), sonolencia diurna(1), estudo avaliativo(1), experiência subjetivação(1), doses zinco(1), condução prótons(1), tipos financiamento(1), histórico enriquecimento(1), unidades hoteleiras(1), modernização agropecuária(1), incidência distribuição(1), abdominal flancos(1), estudo ecológico(1), varias fragilidades(1), controle plantas(1)"
8,"helicobacter pylori(5), sphingosine kinase(4), percolation velocity(2), s1p1 receptor(2), spns2 inhibitor(2), gait biomechanics(2), hydrogel beads(2), chitin colitis(2), corrosion resistance(2), pathogenic bacteria(2), cardiorespiratory responses(2), colorectal cancer(2), dynamics porous(2), phosphate s1p(2), amputation categorized(2), biocatalyst functionality(2), fungi ameliorate(2), microstructure design(2), water ditches(2), training hiit(2)"
9,"gaze interface(2), amphibian embryonic(2), turbulent liquid(2), biomechanics cartilage(2), teaching china(2), vibrational controllability(2), electrostatic footpads(2), sports assessment(2), adaptive controller(2), additive manufacturing(2), device control(2), stem cell(2), generate motile(2), rico jets(2), viscoelastic characterization(2), motivation analysis(2), soft robots(2), disabilities swimu(2), review laser(2), explosive detonation(2)"
