Original_Name,Author_ID,Institution
A. Vakakis,2041393,UIUC
Amy Wagoner Johnson,8682370,UIUC
A. Jacobi,1822073,UIUC
William P. King,33343808,UIUC
Blake Everett Johnson,48364822,UIUC
Brian S. Mercer,2049503804,UIUC
Bumsoo Han,33542176,UIUC
C. Ricardo Constante-Amores,1491039666,UIUC
Callan Luetkemeyer,14179696,UIUC
Craig Bradshaw,46228655,UIUC
Elif Ertekin,4810854,UIUC
Elizabeth T. Hsiao-Wecksler,1398994764,UIUC
Gaurav Bahl,1995045,UIUC
Harley Johnson,31316540,UIUC
Huseyin Sehitoglu,4163564,UIUC
Iwona Jasiuk,46343924,UIUC
Janelle Wharry,92621606,UIUC
Jiajun He,2153096163,UIUC
Jie Feng,83051701,UIUC
Jorge E. Correa,143735187,UIUC
Joseph Bentsman,2185953,UIUC
Justin Yim,2152331,UIUC
Kathryn H Matlack,39895612,UIUC
Ke Tang,144994537,UIUC
Kevin Wise,3096366,UIUC
Kevin E. Wandke,100590743,UIUC
Leonardo Chamorro,4137694,UIUC
Lili Cai,71502032,UIUC
M Taher A. Saif,98772879,UIUC
M. Quinn Brewster,47258804,UIUC
Mariana E. Kersh,4648221,UIUC
Martin Ostoja-Starzewski,1452119473,UIUC
Mattia Gazzola,2597297,UIUC
Mickey Clemon,2269346940,UIUC
Mickey Clemon,2269346930,UIUC
naira hovakimyan,2130392,UIUC
Nenad Miljkovic,5089466,UIUC
Nick G. Glumac,4433619,UIUC
Nikhil Chandra Admal,10090573,UIUC
Paul Fischer,48319080,UIUC
Petros Sofronis,15494645,UIUC
Placid Ferreira,145577383,UIUC
Prashant Mehta,1773940,UIUC
Randy H. Ewoldt,143620353,UIUC
Sameh Tawfick,4142554,UIUC
Sanjiv Sinha,10220902,UIUC
Sascha Hilgenfeldt,3018257,UIUC
Seid Koric,2163125,UIUC
Shelby B. Hutchens,9831923,UIUC
Sophie Wang,50695088,UIUC
Srinivasa Salapaka,1770735,UIUC
Bahador Bahmani,101566577,NU
Brenna Argall,1836885,NU
Cheng Sun,102245864,NU
Elizabeth M Gerber,145003123,NU
Gianluca Cusatis,8858860,NU
Greg Wagner,91998567,NU
Horacio Espinosa,144854104,NU
J. Edward Colgate,1700106,NU
Jennifer B. Dunn,144552733,NU
John A. Rogers,144254966,NU
John Rudnicki,17695609,NU
Jose Pons,47319717,NU
Julio M. Ottino,2556722,NU
Junsoo Kim,2109984862,NU
Kevin Lynch,35114532,NU
Kornel Ehmann,50282317,NU
Malcolm A MacIver,39884769,NU
Manohar Kulkarni,91408184,NU
Matthew J Major,6270873,NU
Michael Peshkin,1789986,NU
Mitra J. Hartmann,46851258,NU
Neelesh A. Patankar,1696499,NU
Oluwaseyi Balogun,144740713,NU
Ping Guo,144264373,NU
Q. Jane Wang,25710262,NU
Ryan L. Truby,5791508,NU
Sandip Ghosal,40438813,NU
Seth Lichter,40096875,NU
Sinan Keten,4886848,NU
Sridhar Krishnaswamy,145536874,NU
Steven Gard,145597276,NU
"Tao Sun, T. Sun",122492681,NU
Todd D Murphey,2750574,NU
Yip-Wah Chung,98106798,NU
Arne J. Pearlstein,10441352,
Kellie M. Halloran,2160927405,
Kyle C. Smith,145423525,
Matthew West,144739836,
Nazanin Farjam,103644296,
Siyi Xu,145426403,
Thomas Golecki,52221051,
Tonghun Lee,32189698,
Varda F. Hagh,7581077,
Jian Cao,123072866,
Michael Rubenstein,145262982,
Naichen Shi,2111723583,
Petia M. Vlahovska,2707828,
Richard M. Lueptow,2032380,
Sam Kriegman,3450084,
Wei Chen,145921144,
Wing Kam Liu,152450400,
Yonggang Huang,2253039201,
