major,count,prob
Applied Math,94,0.05301748448956571
Biomedical Engineering,265,0.14946418499717992
Chemical Engineering,146,0.0823463056965595
Civil Engineering,88,0.049633389734912575
Computer Engineering,142,0.08009024252679076
Computer Science,409,0.23068245910885504
Electrical Engineering,129,0.0727580372250423
Environmental Engineering,46,0.025944726452340666
Industrial Engineering,257,0.1449520586576424
Manufacturing and Design Engineering,66,0.03722504230118443
Materials Science and Engineering,98,0.05527354765933446
McCormick Integrated Engineering Studies,1,0.0005640157924421884
Undecided,32,0.01804850535815003
